MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Sri Lanka,st,rd,1,3,38.8552,-77.5269,0.000580696,3491,3000,6012000,6011752
"New York-Newark-Jersey City, NY-NJ-PA",Sri Lanka,rd,st,3,1,40.778,-73.7087,0.000381201,7636,8000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Sri Lanka,nd,nd,2,2,34.0786,-118.3232,0.000539526,7116,7000,13189000,13189366
