MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"San Francisco-Oakland-Hayward, CA",Switzerland,st,rd,1,3,37.6888,-122.0651,0.000553792,2535,3000,4578000,4577530
"New York-Newark-Jersey City, NY-NJ-PA",Switzerland,nd,st,2,1,40.778,-73.7087,0.000294437,5898,6000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Switzerland,rd,nd,3,2,34.0786,-118.3232,0.000217145,2864,3000,13189000,13189366
