MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Sierra Leone,st,st,1,1,38.8552,-77.5269,0.002259242,13582,14000,6012000,6011752
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Sierra Leone,nd,rd,2,3,39.9494,-75.2383,0.000523338,3165,3000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Sierra Leone,rd,nd,3,2,40.778,-73.7087,0.000226144,4530,5000,20031000,20031443
