MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Malaysia,th,th,6,7,38.8552,-77.5269,0.000392398,2359,2000,6012000,6011752
"San Jose-Sunnyvale-Santa Clara, CA",Malaysia,st,th,1,4,36.8407,-121.3746,0.001426067,2771,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Malaysia,nd,rd,2,3,37.6888,-122.0651,0.000855920,3918,4000,4578000,4577530
"New York-Newark-Jersey City, NY-NJ-PA",Malaysia,rd,st,3,1,40.778,-73.7087,0.000602353,12066,12000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Malaysia,th,nd,5,2,34.0786,-118.3232,0.000401232,5292,5000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Malaysia,th,th,4,5,29.6976,-95.3147,0.000417271,2705,3000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Malaysia,th,th,7,6,32.744,-97.0689,0.000351007,2442,2000,6957000,6957123
