MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Spain,rd,th,3,4,38.8552,-77.5269,0.000729072,4383,4000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Spain,th,th,5,6,37.6888,-122.0651,0.000638991,2925,3000,4578000,4577530
"New York-Newark-Jersey City, NY-NJ-PA",Spain,nd,st,2,1,40.778,-73.7087,0.001055491,21143,21000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Spain,st,nd,1,2,26.0551,-80.4596,0.002171773,12872,13000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Spain,th,rd,7,3,34.0786,-118.3232,0.000366432,4833,5000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Spain,th,th,6,7,29.6976,-95.3147,0.000428532,2778,3000,6483000,6482592
"Chicago-Naperville-Elgin, IL-IN-WI",Spain,th,th,8,8,41.703,-87.9363,0.000252089,2402,2000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Spain,th,th,4,5,42.5684,-71.1109,0.000706304,3340,3000,4729000,4728844
