MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jordan,th,th,6,7,38.8552,-77.5269,0.000358132,2153,2000,6012000,6011752
"New York-Newark-Jersey City, NY-NJ-PA",Jordan,rd,st,3,1,40.778,-73.7087,0.000421537,8444,8000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Jordan,th,rd,4,3,34.0786,-118.3232,0.000419050,5527,6000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Jordan,th,th,5,4,29.6976,-95.3147,0.000406936,2638,3000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Jordan,nd,th,2,6,42.6774,-83.3276,0.000558099,2398,2000,4297000,4296731
"Dallas-Fort Worth-Arlington, TX",Jordan,th,th,7,5,32.744,-97.0689,0.000346120,2408,2000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Jordan,st,nd,1,2,41.703,-87.9363,0.000880841,8393,8000,9528000,9528396
