MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"San Francisco-Oakland-Hayward, CA",Netherlands,st,rd,1,3,37.6888,-122.0651,0.000597702,2736,3000,4578000,4577530
"Riverside-San Bernardino-Ontario, CA",Netherlands,nd,th,2,4,34.6177,-116.0501,0.000491802,2179,2000,4431000,4430646
"New York-Newark-Jersey City, NY-NJ-PA",Netherlands,th,st,5,1,40.778,-73.7087,0.000326137,6533,7000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Netherlands,th,nd,4,2,34.0786,-118.3232,0.000409269,5398,5000,13189000,13189366
"Chicago-Naperville-Elgin, IL-IN-WI",Netherlands,th,th,6,5,41.703,-87.9363,0.000227006,2163,2000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Netherlands,rd,th,3,6,42.5684,-71.1109,0.000443872,2099,2000,4729000,4728844
