MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"San Francisco-Oakland-Hayward, CA",Yemen,nd,rd,2,3,37.6888,-122.0651,0.000646637,2960,3000,4578000,4577530
"New York-Newark-Jersey City, NY-NJ-PA",Yemen,rd,nd,3,2,40.778,-73.7087,0.000606247,12144,12000,20031000,20031443
"Detroit-Warren-Dearborn, MI",Yemen,st,st,1,1,42.6774,-83.3276,0.002855659,12270,12000,4297000,4296731
