MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Seattle-Tacoma-Bellevue, WA",Moldova,nd,rd,2,3,47.5137,-121.885,0.001051457,3860,4000,3671000,3671095
"Sacramento--Roseville--Arden-Arcade, CA",Moldova,st,nd,1,2,38.6673,-121.1593,0.001890712,4240,4000,2243000,2242542
"New York-Newark-Jersey City, NY-NJ-PA",Moldova,rd,st,3,1,40.778,-73.7087,0.000336721,6745,7000,20031000,20031443
"Chicago-Naperville-Elgin, IL-IN-WI",Moldova,th,th,4,4,41.703,-87.9363,0.000240754,2294,2000,9528000,9528396
