MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Eritrea,st,st,1,1,38.8552,-77.5269,0.000819561,4927,5000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Eritrea,nd,nd,2,2,47.5137,-121.885,0.000718042,2636,3000,3671000,3671095
"San Francisco-Oakland-Hayward, CA",Eritrea,rd,rd,3,3,37.6888,-122.0651,0.000538282,2464,2000,4578000,4577530
