MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Worcester, MA-CT",Albania,st,th,1,6,42.178,-71.8736,0.003092406,2878,3000,931000,930667
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Albania,th,th,6,5,39.9494,-75.2383,0.000847592,5126,5000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Albania,th,st,5,1,40.778,-73.7087,0.001235807,24755,25000,20031000,20031443
"Jacksonville, FL",Albania,rd,th,3,7,30.2238,-81.8852,0.001833443,2611,3000,1424000,1424097
"Detroit-Warren-Dearborn, MI",Albania,nd,nd,2,2,42.6774,-83.3276,0.002218431,9532,10000,4297000,4296731
"Chicago-Naperville-Elgin, IL-IN-WI",Albania,th,th,7,4,41.703,-87.9363,0.000559486,5331,5000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Albania,th,rd,4,3,42.5684,-71.1109,0.001352339,6395,6000,4729000,4728844
