MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Liberia,th,th,4,4,38.8552,-77.5269,0.000958456,5762,6000,6012000,6011752
"Providence-Warwick, RI-MA",Liberia,rd,th,3,6,41.6397,-71.3161,0.002030622,3268,3000,1609000,1609359
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Liberia,nd,st,2,1,39.9494,-75.2383,0.002084587,12607,13000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Liberia,th,rd,9,3,40.778,-73.7087,0.000327385,6558,7000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Liberia,st,nd,1,2,45.2214,-93.5043,0.002946593,10279,10000,3488000,3488436
"Dallas-Fort Worth-Arlington, TX",Liberia,th,th,8,8,32.744,-97.0689,0.000329159,2290,2000,6957000,6957123
"Charlotte-Concord-Gastonia, NC-SC",Liberia,th,th,6,9,35.2588,-80.889,0.000865547,2061,2000,2381000,2381152
"Baltimore-Columbia-Towson, MD",Liberia,th,th,5,7,39.216,-76.6747,0.000893604,2485,2000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Liberia,th,th,7,5,33.7311,-84.4002,0.000634267,3560,4000,5613000,5612777
