MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Somalia,th,th,6,4,38.8552,-77.5269,0.000477565,2871,3000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Somalia,rd,rd,3,3,47.5137,-121.885,0.001994228,7321,7000,3671000,3671095
"San Diego-Carlsbad, CA",Somalia,th,th,4,5,33.0164,-116.7305,0.000785036,2554,3000,3253000,3253356
"Minneapolis-St. Paul-Bloomington, MN-WI",Somalia,st,st,1,1,45.2214,-93.5043,0.006109328,21312,21000,3488000,3488436
"Columbus, OH",Somalia,nd,nd,2,2,40.0371,-82.8533,0.004169916,8319,8000,1995000,1995004
"Boston-Cambridge-Newton, MA-NH",Somalia,th,th,5,6,42.5684,-71.1109,0.000517040,2445,2000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Somalia,th,th,7,7,33.7311,-84.4002,0.000401940,2256,2000,5613000,5612777
