MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Chile,nd,th,2,4,38.8552,-77.5269,0.000859483,5167,5000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Chile,th,th,5,5,37.6888,-122.0651,0.000559035,2559,3000,4578000,4577530
"New York-Newark-Jersey City, NY-NJ-PA",Chile,rd,st,3,1,40.778,-73.7087,0.000806083,16147,16000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Chile,st,nd,1,2,26.0551,-80.4596,0.002249891,13335,13000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Chile,th,rd,4,3,34.0786,-118.3232,0.000565531,7459,7000,13189000,13189366
"Boston-Cambridge-Newton, MA-NH",Chile,th,th,6,6,42.5684,-71.1109,0.000480456,2272,2000,4729000,4728844
