MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Colorado Springs, CO",Germany,nd,th,2,24,38.8203,-104.6919,0.007054453,4858,5000,689000,688643
"Cleveland-Elyria, OH",Germany,th,st,39,31,41.6183,-81.6755,0.001957189,4035,4000,2062000,2061630
"Cincinnati, OH-KY-IN",Germany,th,th,49,39,39.1013,-84.4863,0.001359013,2917,3000,2146000,2146410
"Chicago-Naperville-Elgin, IL-IN-WI",Germany,rd,rd,33,3,41.703,-87.9363,0.002134672,20340,20000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Germany,th,rd,45,33,35.2588,-80.889,0.001588727,3783,4000,2381000,2381152
"Cape Coral-Fort Myers, FL",Germany,th,th,5,35,26.5532,-81.9137,0.005161755,3515,4000,681000,680970
"Buffalo-Cheektowaga-Niagara Falls, NY",Germany,th,th,37,50,43.0374,-78.7361,0.001977097,2245,2000,1136000,1135503
"Bridgeport-Stamford-Norwalk, CT",Germany,th,rd,13,43,41.3084,-73.3137,0.002898203,2729,3000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Germany,th,th,34,10,42.5684,-71.1109,0.002048069,9685,10000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Germany,nd,th,32,20,39.216,-76.6747,0.002146808,5970,6000,2781000,2780873
"Austin-Round Rock, TX",Germany,th,th,40,34,30.2683,-97.6515,0.001827434,3550,4000,1943000,1942615
"Atlanta-Sandy Springs-Roswell, GA",Germany,th,th,44,11,33.7311,-84.4002,0.001661922,9328,9000,5613000,5612777
