MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"New York-Newark-Jersey City, NY-NJ-PA",Belize,nd,nd,2,2,40.778,-73.7087,0.000459727,9209,9000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Belize,th,th,5,5,26.0551,-80.4596,0.000347565,2060,2000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Belize,st,st,1,1,34.0786,-118.3232,0.001097551,14476,14000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Belize,th,th,4,4,29.6976,-95.3147,0.000361430,2343,2000,6483000,6482592
"Chicago-Naperville-Elgin, IL-IN-WI",Belize,rd,rd,3,3,41.703,-87.9363,0.000396919,3782,4000,9528000,9528396
