MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Ireland,th,th,6,7,38.8552,-77.5269,0.000472907,2843,3000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Ireland,rd,th,3,4,37.6888,-122.0651,0.001427844,6536,7000,4578000,4577530
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Ireland,th,th,5,6,39.9494,-75.2383,0.000600391,3631,4000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Ireland,nd,st,2,1,40.778,-73.7087,0.001656396,33180,33000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Ireland,th,th,7,8,26.0551,-80.4596,0.000406448,2409,2000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Ireland,th,th,8,5,34.0786,-118.3232,0.000356044,4696,5000,13189000,13189366
"Chicago-Naperville-Elgin, IL-IN-WI",Ireland,th,rd,4,3,41.703,-87.9363,0.000836972,7975,8000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Ireland,st,nd,1,2,42.5684,-71.1109,0.002720538,12865,13000,4729000,4728844
