MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Australia,th,th,7,6,38.8552,-77.5269,0.000463426,2786,3000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Australia,nd,th,2,4,47.5137,-121.885,0.000821553,3016,3000,3671000,3671095
"San Francisco-Oakland-Hayward, CA",Australia,st,rd,1,3,37.6888,-122.0651,0.000895461,4099,4000,4578000,4577530
"San Diego-Carlsbad, CA",Australia,rd,th,3,8,33.0164,-116.7305,0.000662393,2155,2000,3253000,3253356
"New York-Newark-Jersey City, NY-NJ-PA",Australia,th,st,4,1,40.778,-73.7087,0.000581636,11651,12000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Australia,th,nd,5,2,34.0786,-118.3232,0.000570460,7524,8000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Australia,th,th,8,5,29.6976,-95.3147,0.000455528,2953,3000,6483000,6482592
"Chicago-Naperville-Elgin, IL-IN-WI",Australia,th,th,9,9,41.703,-87.9363,0.000221758,2113,2000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Australia,th,th,6,7,42.5684,-71.1109,0.000489549,2315,2000,4729000,4728844
